4	genu, genus	n	knee	16
2	gladius, gladii	m	sword	4
1	gloria, gloriae	f	glory	1
2	grabatus, grabati	m	cot	24
1	gratia, gratiae	f	grace; favor, credit; pl. thanks	1
3	grex, gregis	m	flock	18
2	Hebraeus, Hebraei	m	Hebrew	6
3	hereditas, hereditatis	f	generation, inheritance	35
3	homo, hominis	m	human being, person	14
3	honor, honoris	m	honor	25
1	hora, horae	f	hour	1
3	hospes, hospitis	mf	host; guest	29
1	hostia, hostiae	f	sacrificial offering, host	11
3	humanitas, humanitatis	f	humanity	18
3	humilitas, humilitatis	f	lowliness, humility	34
2	hymnus, hymni	m	hymn	3
1	hypocrita, hypocritae	m	hypocrite	23
3	illuminatio, illuminationis	f	light	32
3	imago, imaginis	f	likeness, image	24
3	immolatio, immolationis	f	offering	35
3	imperator, imperatoris	m	general, emperor	25
2	imperium, imperii	n	dominion, empire; precept, command	10
2	incensum, incensi	n	incense	8
1	indulgentia, indulgentiae	f	forgiveness, pardon, concession	26
3	iniquitas, iniquitatis	f	wickedness	15
1	innocentia, innocentiae	f	innocence	11
3	institutio, institutionis	f	instruction	34
3	intercessio, intercessionis	f	intercession	22
3	intermissio, intermissionis	f	interruption	27
4	introitus, introitus	m	a going in, introit	22
1	ira, irae	f	anger, wrath	27
3	iter, itineris	n	journey	26
3	Johannes, Joannis	m	John	14
1	Judaea, Judaeae	f	Judea	2
3	judex, judicis	m	judge	32
2	judicium, judicii	n	judgment	29
2	jugum, jugi	n	yoke	27
1	justitia, justitiae	f	righteousness, justice	2
3	juvenis, juvenis	mf	young adult	33
3	labor, laboris	m	work, labor	27
1	lacrima, lacrimae	f	tear	20
1	laetitia, laetitiae	f	gladness, joy	7
3	lampas, lampadis	f	lamp, torch; flame	29
3	largitas, largitatis	f	bounty, abundance	15
3	latus, lateris	n	side	19
3	laus, laudis	f	praise	17
3	lectio, lectionis	f	reading	15
3	lector, lectoris	m	reader, lector	15
1	Levita (Levites), Levitae	m	deacon, Levite	18
3	lex, legis	f	law, Torah	1
2	liber, libri	m	book	3
2	lignum, ligni	n	wood; tree	30
1	lingua, linguae	f	tongue; language	28
1	liturgia, liturgiae	f	(divine) service, liturgy	7
2	locus, loci	m	place	17	nompl:loca
1	Lucas, Lucae	m	Luke	18
2	lucifer, luciferi	m	daystar, morning star	26
3	lumen, luminis	n	light; (pl. also) eyes	14
3	lux, lucis	f	light	24
1	Magdalena, Magdalenae	f	Magdalen	29
2	magister, magistri	m	teacher, master, rabbi	4
2	magus, magi	m	wise man, magician, astrologer	31
3	majestis, majestatis	f	majesty	31
3	malefactor, malefactoris	m	evildoer, criminal	25
2	mandatum, mandati	n	order, commandment	9
4	manus, manus	f	hand	16
1	Maria, Mariae	f	Mary	2
3	martyr, martyris	m	witness, martyr	26
3	mater, matris	f	mother	14
2	medium, medii	n	the middle, midst	33
1	memoria, memoriae	f	remembrance, memory	20
1	mensa, mensae	f	table; banquet	12
2	meritum, meriti	n	merit	8
3	miles, militis	m	soldier	24
2	minister, ministri	m	servant, minister	2
2	ministerium, ministerii	n	ministry, service	10
1	misericordia, misericordiae	f	mercy, kindness, pity	7
1	missa, missae	f	Mass	1
2	modus, modi	m	manner, way	4
2	monumentum, monumenti	n	tomb	30
3	mulier, mulieris	f	woman, wife	19
3	multitudo, multitudinis	f	great number, multitude	35
2	mundus, mundi	m	world	4
3	munus, muneris	n	gift, offering; task, duty; (pl. also) bribes	14
2	mysterium, mysterii	n	mystery	3
3	natio, nationis	f	nation; pl. gentiles, pl. heathens	33
3	nativitas, nativitatis	f	birth	33
1	natura, naturae	f	nature	1
2	natus, nati	m	son, child	6
1	nequitia, nequitiae	f	wickedness, evil ways	32
3	nomen, nominis	n	name	14
2	numerus, numeri	m	number, multitude	4
3	oblatio, oblationis	f	offering	25
1	oboedentia, oboedentiae	f	obedience	34
4	occasus, occasus	m	setting (of the sun)	34
2	oculus, oculi	m	eye	13
2	odium, odii	n	hatred	3
3	odor, odoris	m	aroma, odor	27
1	oliva, olivae	f	olive (tree)	26
2	Olivetum, Oliveti	n	olivet [a hill east of Jerusalem]	24
3	omissio, omissionis	f	omission	29
3	ops, opis	f	help	35
3	opus, operis	n	work, deed	20
3	oratio, orationis	f	prayer; speech	14
3	ordo, ordinis	m	rank, order	23
4	ortus, ortus	m	rising [of the sun]	99
3	os, oris	n	mouth	19
1	paenitentia, paenitentiae	f	repentance	35
1	palma, palmae	f	palm (of the hand)	32
1	papa, papae	m	pope	1
3	parens, parentis	mf	parent	30
3i	pars, partis, partium	f	part, some	15
3	particeps, participis	mf	partaker, sharer	15
1	Pascha, Paschae	f	Passover, Pasch; Easter	11
3	Pascha, Paschatis	n	Passover, Pasch; Easter	16
3	passer, passeris	m	sparrow	27
3	passio, passionis	f	suffering, passion	16
3	pastor, pastoris	m	shepherd; pastor	18
3	pater, patris	m	father	14
1	patria, patriae	f	native land, country	25
2	patronus, patroni	m	defender, advocate	26
2	Paulus, Pauli	m	Paul	11
3	pax, pacis	f	harmony, peace	14
3	peccator, peccatoris	m	sinner	20
2	peccatum, peccati	n	sin	3
3	pectus, pectoris	n	breast	34
3	pes, pedis	m	foot	19
2	Petrus, Petri	m	Peter	2
3	phantasma, phantasmatis	n	ghost, phantom	30
2	piaculum, piaculi	n	sin, crime	32
3	pietas, pietatis	f	goodness; tenderness, pity	17
4	planctus, planctus	m	mourning	22
